batch,run_within,tank_pos,fish_id,n_samp,n_det,det_rate,x_sd,y_sd,pct_top,excluded,static_flag,extreme_pct,centroid_x,centroid_y,column,frame_row,frame_half
1,1,1,13,7200,1293,0.17958333333333334,67.15918223412511,31.710000363577777,0.5738592420726991,True,False,False,192.61923076923077,74.57692307692308,L,1,top_half
1,1,2,17,7200,2054,0.2852777777777778,57.145256991709445,33.06063863664075,0.3758519961051607,True,False,False,201.08493589743588,206.1971153846154,L,2,top_half
1,1,3,11,7200,5899,0.8193055555555555,75.38043321920873,30.205338701754556,0.646889303271741,False,False,False,210.93589743589743,323.8333333333333,L,3,bottom_half
1,1,4,14,7200,3577,0.49680555555555556,58.565106945907985,24.782760680897418,0.6983505731059547,False,False,False,223.39294871794883,427.29647435897436,L,4,bottom_half
1,1,5,15,7200,4803,0.6670833333333334,56.977658682853615,26.518448079940836,0.5821361648969394,True,False,False,490.8528846153847,78.8173076923077,R,1,top_half
1,1,6,18,7200,446,0.06194444444444445,60.90068965279315,35.49608966015159,0.3475336322869955,True,False,False,479.8487179487181,210.03365384615384,R,2,top_half
1,1,7,16,7200,3711,0.5154166666666666,65.22352042347723,28.411526873654505,0.19051468606844515,False,False,False,467.1096153846155,326.86538461538464,R,3,bottom_half
1,1,8,12,7200,3220,0.44722222222222224,53.10726635878095,26.874480811230363,0.24006211180124223,False,False,False,455.5759615384617,429.95512820512823,R,4,bottom_half
1,2,1,15,7200,3896,0.5411111111111111,53.504880857687716,24.68327175389117,0.6003593429158111,False,False,False,192.61923076923077,74.57692307692308,L,1,top_half
1,2,2,18,7200,1446,0.20083333333333334,68.2656938089029,30.941938037565063,0.7060857538035962,False,False,False,201.08493589743588,206.1971153846154,L,2,top_half
1,2,3,14,7200,5595,0.7770833333333333,58.77894413981604,22.033900354249138,0.8418230563002681,False,False,False,210.93589743589743,323.8333333333333,L,3,bottom_half
1,2,4,12,7200,3190,0.44305555555555554,34.85506937182036,25.63226253982898,0.3128526645768025,False,False,False,223.39294871794883,427.29647435897436,L,4,bottom_half
1,2,5,16,7200,1031,0.14319444444444446,39.27826974693282,17.04093948951244,0.052376333656644035,False,False,False,490.8528846153847,78.8173076923077,R,1,top_half
1,2,6,11,7200,6868,0.9538888888888889,70.90149153141338,31.53658879198214,0.49519510774606873,False,False,False,479.8487179487181,210.03365384615384,R,2,top_half
1,2,7,13,7200,5873,0.8156944444444445,63.27918034068313,32.83565519985394,0.6989613485441852,False,False,False,467.1096153846155,326.86538461538464,R,3,bottom_half
1,2,8,17,7200,4154,0.5769444444444445,57.397556004771516,30.171280891782796,0.6064034665382764,False,False,False,455.5759615384617,429.95512820512823,R,4,bottom_half
1,3,1,11,7200,6523,0.9059722222222222,62.67136932062997,32.25653252057458,0.5261382799325464,False,False,False,192.61923076923077,74.57692307692308,L,1,top_half
1,3,2,14,7200,3304,0.4588888888888889,46.202579124267345,16.394817182805767,0.9101089588377724,False,False,False,201.08493589743588,206.1971153846154,L,2,top_half
1,3,3,18,7200,1283,0.17819444444444443,67.06641795025978,34.99758553383433,0.5565081839438816,False,False,False,210.93589743589743,323.8333333333333,L,3,bottom_half
1,3,4,15,7200,3358,0.4663888888888889,46.122772883315506,26.222369866368343,0.49017272185824895,False,False,False,223.39294871794883,427.29647435897436,L,4,bottom_half
1,3,5,12,7200,4276,0.5938888888888889,41.4622424035788,26.029586737892885,0.40528531337698787,False,False,False,490.8528846153847,78.8173076923077,R,1,top_half
1,3,6,13,7200,3647,0.5065277777777778,46.06098980863918,31.2810094621764,0.46750754044420073,False,False,False,479.8487179487181,210.03365384615384,R,2,top_half
1,3,7,17,7200,2970,0.4125,49.17851867789393,30.639459433916954,0.44074074074074077,False,False,False,467.1096153846155,326.86538461538464,R,3,bottom_half
1,3,8,16,7200,245,0.034027777777777775,39.801092551165304,13.074322385083935,0.004081632653061225,True,False,True,455.5759615384617,429.95512820512823,R,4,bottom_half
1,4,1,13,7200,3071,0.4265277777777778,52.32362630833494,25.8393818833414,0.46271572777596875,False,False,False,192.61923076923077,74.57692307692308,L,1,top_half
1,4,2,14,7200,1741,0.24180555555555555,40.66968183093781,18.817512786196115,0.8684663986214819,False,False,False,201.08493589743588,206.1971153846154,L,2,top_half
1,4,3,17,7200,1607,0.22319444444444445,51.198699217145375,27.286256105259657,0.47666459240821407,False,False,False,210.93589743589743,323.8333333333333,L,3,bottom_half
