11," “F:\\P1-Batch02-Videos\\ZFish-P1-01-29-14 1130 Main-1GAB.mov""",77.4,25.5,67.4,126.5,286.4,129.5,258.4,27.5,93.4,164.5,88.4,257.5,288.4,258.5,260.4,159.5,104.4,281.5,103.4,369.5,289.4,370.5,262.4,283.5,124.4,391.5,124.4,463.5,296.4,465.5,276.4,396.5,380.4,27.5,349.4,128.5,562.4,133.5,558.4,32.5,386.4,162.5,354.4,258.5,552.4,260.5,553.4,169.5,372.4,283.5,346.4,368.5,533.4,369.5,532.4,289.5,359.4,395.5,338.4,464.5,509.4,467.5,508.4,393.5,0,0,1.042,.1125
12," “F:\\P1-Batch02-Videos\\ZFish-P1-01-29-14 1430 Main-1GAB.mov""",114.4,27.5,105.4,128.5,321.4,128.5,291.4,26.5,126.4,161.5,122.4,254.5,324.4,257.5,294.4,162.5,140.4,282.5,138.4,365.5,326.4,370.5,298.4,284.5,155.4,392.5,154.4,460.5,329.4,465.5,306.4,392.5,423.4,24.5,391.4,127.5,604.4,134.5,603.4,34.5,416.4,163.5,385.4,257.5,586.4,262.5,585.4,167.5,404.4,283.5,376.4,370.5,563.4,370.5,565.4,289.5,398.4,394.5,375.4,464.5,547.4,465.5,547.4,397.5,0,0,1.126,.1305
13," “F:\\P1-Batch03-Videos\\ZFish-P1-02-03-14 1130 Main-5GWT.mov""",110.4,17.5,100.4,124.5,319.4,128.5,290.4,19.5,129.4,159.5,122.4,257.5,328.4,261.5,295.4,155.5,146.4,286.5,138.4,368.5,326.4,372.5,303.4,283.5,155.4,392.5,155.4,463.5,329.4,466.5,308.4,393.5,423.4,26.5,390.4,130.5,605.4,136.5,603.4,33.5,411.4,159.5,374.4,257.5,578.4,258.5,578.4,164.5,399.4,283.5,372.4,370.5,562.4,370.5,561.4,289.5,396.4,394.5,371.4,466.5,542.4,467.5,543.4,396.5,0,0,.904,.1885
14," “F:\\P1-Batch03-Videos\\ZFish-P1-02-03-14 1430 Main-5GWT.mov""",110.4,17.5,100.4,124.5,312.4,130.5,285.4,19.5,121.4,160.5,115.4,254.5,315.4,256.5,288.4,155.5,131.4,283.5,129.4,366.5,317.4,370.5,291.4,279.5,148.4,388.5,149.4,461.5,320.4,464.5,299.4,387.5,423.4,26.5,386.4,128.5,600.4,133.5,595.4,33.5,411.4,159.5,374.4,257.5,578.4,258.5,578.4,164.5,399.4,283.5,372.4,370.5,558.4,369.5,561.4,289.5,396.4,394.5,371.4,466.5,542.4,467.5,543.4,396.5,0,0,1.462,.1605
15," “F:\\P1-Batch03-Videos\\ZFish-P1-02-04-14 1130 Main-5GWT.mov""",110.4,26.5,99.4,127.5,319.4,130.5,289.4,29.5,109.4,159.5,106.4,255.5,311.4,257.5,278.4,160.5,121.4,283.5,120.4,367.5,312.4,370.5,284.4,280.5,146.4,393.5,143.4,462.5,320.4,464.5,296.4,397.5,407.4,24.5,375.4,129.5,588.4,135.5,589.4,33.5,411.4,159.5,374.4,257.5,578.4,258.5,578.4,164.5,399.4,283.5,372.4,370.5,558.4,369.5,561.4,289.5,389.4,394.5,366.4,464.5,542.4,467.5,543.4,396.5,0,0,.956,.1565
16," “F:\\P1-Batch03-Videos\\ZFish-P1-02-04-14 1430 Main-5GWT.mov""",101.4,23.5,94.4,123.5,314.4,125.5,280.4,24.5,109.4,159.5,106.4,255.5,311.4,257.5,278.4,160.5,129.4,279.5,130.4,365.5,319.4,368.5,291.4,278.5,146.4,393.5,143.4,462.5,316.4,461.5,295.4,393.5,417.4,24.5,382.4,128.5,594.4,131.5,589.4,33.5,411.4,159.5,374.4,257.5,578.4,258.5,578.4,164.5,399.4,283.5,370.4,367.5,551.4,370.5,555.4,286.5,389.4,394.5,366.4,464.5,539.4,464.5,536.4,391.5,0,0,1.072,.1365
17," “F:\\P1-Batch03-Videos\\ZFish-P1-02-05-14 1115 Main-5GWT.mov""",82.4,22.5,76.4,125.5,293.4,131.5,264.4,21.5,98.4,160.5,96.4,253.5,298.4,255.5,271.4,156.5,109.4,286.5,108.4,368.5,297.4,369.5,269.4,280.5,129.4,393.5,124.4,461.5,302.4,462.5,281.4,392.5,389.4,23.5,354.4,125.5,568.4,132.5,569.4,30.5,377.4,166.5,350.4,255.5,547.4,257.5,549.4,163.5,379.4,283.5,349.4,369.5,536.4,369.5,535.4,286.5,367.4,393.5,343.4,464.5,517.4,465.5,518.4,394.5,0,0,.968,.1365
18," “F:\\P1-Batch03-Videos\\ZFish-P1-02-05-14 1500 Main-5GWT.mov""",82.4,22.5,71.4,126.5,287.4,128.5,258.4,25.5,91.4,157.5,88.4,253.5,288.4,256.5,261.4,158.5,109.4,286.5,108.4,368.5,292.4,369.5,266.4,282.5,129.4,393.5,124.4,461.5,299.4,464.5,277.4,393.5,397.4,28.5,364.4,127.5,574.4,131.5,574.4,37.5,391.4,159.5,356.4,256.5,554.4,257.5,549.4,163.5,379.4,283.5,349.4,369.5,536.4,369.5,535.4,286.5,372.4,393.5,350.4,464.5,517.4,465.5,518.4,394.5,0,0,1.198,.1525
19," “F:\\P1-Batch04-Videos\\ZFish-P1-02-10-14 1100 Main-1GAB.mov""",106.4,21.5,96.4,126.5,316.4,127.5,287.4,18.5,116.4,159.5,112.4,258.5,317.4,256.5,287.4,154.5,132.4,285.5,129.4,366.5,318.4,368.5,294.4,283.5,148.4,392.5,149.4,462.5,320.4,466.5,301.4,393.5,414.4,22.5,378.4,128.5,594.4,134.5,590.4,35.5,402.4,162.5,369.4,256.5,570.4,257.5,571.4,165.5,393.4,287.5,368.4,370.5,556.4,372.5,555.4,288.5,383.4,394.5,360.4,467.5,533.4,468.5,534.4,396.5,0,0,1.126,.1405
20," “F:\\P1-Batch04-Videos\\ZFish-P1-02-10-14 1430 Main-1GAB.mov""",106.4,21.5,96.4,126.5,313.4,130.5,284.4,26.5,116.4,159.5,112.4,258.5,314.4,257.5,285.4,155.5,132.4,285.5,129.4,366.5,316.4,371.5,293.4,285.5,148.4,392.5,149.4,462.5,320.4,466.5,301.4,393.5,417.4,26.5,385.4,130.5,600.4,135.5,595.4,34.5,411.4,167.5,379.4,258.5,580.4,259.5,580.4,170.5,397.4,285.5,368.4,370.5,556.4,372.5,555.4,288.5,390.4,393.5,364.4,467.5,539.4,468.5,542.4,396.5,0,0,1.146,.1665
