fish,session,tank,include,strain,y1.n,entrytotop.min,y1.mean,topbottom.mean,y1.sd,topbottom.sd,y1.skew,y1.se,
74,7,32,1,5G,4341,1810.00,55.6453,.6471,18.02084,.47793,-.389,.037,
77,7,33,1,5G,4810,1870.00,46.5987,.5682,21.00566,.49538,-.212,.035,
76,7,34,1,5G,7941,3360.00,32.1812,.5147,18.70499,.49982,-.160,.027,
72,7,35,1,5G,3528,1820.00,62.8482,.6397,22.55743,.48014,-.283,.041,
75,7,36,1,5G,7631,4715.00,40.1665,.3499,24.15333,.47697,.545,.028,
71,7,37,1,5G,4325,1815.00,55.0070,.7047,22.71114,.45621,-.655,.037,
78,7,38,1,5G,7990,1805.00,35.8635,.5526,17.03843,.49726,-.315,.027,
73,7,41,1,5G,4081,2140.00,58.8330,.6119,20.17904,.48739,-.198,.038,
77,7,42,1,5G,6519,1805.00,58.8805,.6461,18.68844,.47821,-.250,.030,
71,7,43,1,5G,3045,4045.00,52.5923,.6424,19.22470,.47938,-.311,.044,
74,7,44,1,5G,2721,13035.00,11.9943,.0430,9.22073,.20289,2.055,.047,
75,7,45,1,5G,8111,4740.00,44.2796,.3281,23.35630,.46954,.652,.027,
78,7,46,1,5G,8394,1805.00,52.0879,.5964,20.89014,.49065,-.302,.027,
76,7,47,1,5G,9068,2925.00,37.7163,.4563,21.24460,.49812,.085,.026,
72,7,48,1,5G,3776,2550.00,14.3250,.1520,16.76564,.35908,1.469,.040,
75,7,51,1,5G,2789,2570.00,52.5263,.4955,22.21106,.50007,.047,.046,
78,7,52,1,5G,4219,1805.00,60.5565,.6065,22.91447,.48857,-.161,.038,
74,7,53,1,5G,2804,8215.00,39.9158,.4825,20.40773,.49978,.164,.046,
72,7,54,1,5G,2722,2725.00,28.1356,.4243,19.46058,.49433,.146,.047,
76,7,55,1,5G,6829,1805.00,63.7560,.6310,21.34414,.48257,-.179,.030,
71,7,56,1,5G,4118,4680.00,67.9043,.7999,21.32966,.40012,-1.057,.038,
73,7,57,1,5G,5928,1805.00,35.6483,.4411,19.94435,.49656,.077,.032,
77,7,58,1,5G,4761,1905.00,39.5552,.6751,16.07966,.46840,-.701,.035,
77,7,61,1,5G,4811,1815.00,64.7668,.7423,20.07347,.43744,-.696,.035,
71,7,62,1,5G,4059,1805.00,60.6603,.6438,23.20073,.47895,-.378,.038,
73,7,63,1,5G,6294,2030.00,38.6423,.5114,20.33109,.49991,-.145,.031,
78,7,64,1,5G,6201,3260.00,30.5562,.4378,18.92998,.49616,-.081,.031,
75,7,65,1,5G,7044,6060.00,50.6795,.4005,22.55548,.49003,.528,.029,
76,7,66,1,5G,7361,1805.00,61.6745,.9366,9.07191,.24377,.048,.029,
72,7,67,1,5G,4966,6070.00,25.8511,.2008,18.07453,.40061,1.150,.035,
74,7,68,1,5G,6831,2360.00,21.9951,.2449,16.65688,.43007,.736,.030,
83,8,11,1,AB,4640,1805.00,61.5927,.6619,22.15864,.47313,-.470,.036,
87,8,12,1,AB,6159,1875.00,53.8292,.6439,20.63893,.47887,-.494,.031,
81,8,13,1,AB,7339,1910.00,32.4795,.3443,21.21940,.47518,.497,.029,
84,8,14,0,AB,132,2035.00,35.1311,.4697,15.38522,.50098,-.242,.211,
85,8,15,1,AB,4993,1830.00,50.7341,.5187,20.16159,.49970,.094,.035,
88,8,16,1,AB,4665,2015.00,61.6916,.6617,26.31702,.47317,-.499,.036,
86,8,17,0,AB,172,1980.00,21.7086,.2558,24.89550,.43759,1.094,.185,
82,8,18,1,AB,6262,2270.00,34.4480,.4994,19.45035,.50004,-.087,.031,
81,8,21,1,AB,5867,2685.00,56.7182,.5349,20.76513,.49883,.167,.032,
86,8,22,1,AB,4060,6630.00,36.7825,.2877,20.13808,.45274,.754,.038,
85,8,23,1,AB,3871,6945.00,32.9353,.2278,14.83576,.41950,.860,.039,
84,8,24,1,AB,1184,31585.00,22.4050,.1410,12.88239,.34822,.326,.071,
88,8,25,1,AB,2518,2055.00,52.5722,.5262,24.17944,.49941,.041,.049,
82,8,26,1,AB,7485,1865.00,58.9362,.6538,20.89836,.47578,-.354,.028,
83,8,27,1,AB,5682,1865.00,34.0861,.3882,23.14079,.48739,.217,.032,
87,8,28,1,AB,5178,4360.00,22.8545,.2316,14.37305,.42187,.344,.034,
88,8,31,1,AB,3777,1885.00,49.1642,.4241,23.33222,.49428,.330,.040,
85,8,32,1,AB,5637,2150.00,40.3472,.3394,16.71182,.47354,.208,.033,
81,8,33,1,AB,5397,1850.00,41.4859,.5585,23.86589,.49662,-.268,.033,
83,8,34,1,AB,2986,27050.00,7.6992,.0147,8.18588,.12051,2.541,.045,
84,8,35,1,AB,3014,35430.00,20.3075,.0727,15.29046,.25962,2.430,.045,
87,8,36,1,AB,7342,7095.00,31.4327,.1411,14.44438,.34815,.722,.029,
86,8,37,1,AB,2903,33065.00,23.7277,.2156,20.62754,.41134,.625,.045,
82,8,38,1,AB,7064,4070.00,27.0032,.3979,18.26797,.48951,.049,.029,
83,8,41,0,AB,73,2230.00,35.1202,.1644,23.03472,.37319,1.001,.281,
84,8,42,1,AB,2832,5620.00,34.1869,.2765,18.20281,.44734,.328,.046,
87,8,43,1,AB,2622,1805.00,33.0373,.3482,13.75656,.47649,-.207,.048,
86,8,44,1,AB,1413,5240.00,51.2620,.8754,12.60948,.33033,-1.831,.065,
82,8,45,1,AB,6043,1805.00,57.0061,.5888,22.45112,.49210,-.168,.032,
85,8,46,1,AB,2961,1805.00,31.2716,.2053,15.98718,.40402,.610,.045,
81,8,47,1,AB,6595,11585.00,27.0657,.1813,17.49684,.38534,.931,.030,
88,8,48,1,AB,2408,1810.00,28.4715,.4390,17.68736,.49636,-.032,.050,
88,8,51,0,AB,295,1825.00,28.1207,.2237,27.27150,.41745,1.250,.142,
82,8,52,1,AB,6327,1805.00,46.0351,.4467,21.43611,.49719,.130,.031,
85,8,53,1,AB,3490,1960.00,42.4550,.4785,14.31001,.49961,.226,.041,
83,8,54,1,AB,2611,1930.00,32.5219,.4990,17.35740,.50009,-.325,.048,
81,8,55,1,AB,5132,1820.00,45.4538,.3827,22.56347,.48609,.494,.034,
87,8,56,1,AB,5262,1805.00,50.3562,.5534,19.22912,.49719,-.083,.034,
86,8,57,0,AB,349,1805.00,68.8579,.9112,16.29499,.28490,-1.820,.131,
84,8,58,1,AB,3608,2465.00,21.8745,.2384,14.92068,.42614,.324,.041,
81,8,61,1,AB,3922,1830.00,60.0102,.6486,19.01167,.47745,-.226,.039,
84,8,62,1,AB,4174,2525.00,44.6162,.4708,19.72779,.49920,-.130,.038,
88,8,63,1,AB,2048,1830.00,32.9952,.3516,23.80109,.47757,.340,.054,
85,8,64,1,AB,3474,5600.00,24.7568,.2608,15.03142,.43913,.302,.042,
82,8,65,1,AB,6880,1975.00,57.4550,.5797,23.84771,.49365,-.134,.030,
83,8,66,1,AB,5304,1805.00,38.3981,.3682,23.48927,.48236,.350,.034,
87,8,67,1,AB,5493,2735.00,33.0977,.3435,19.48681,.47493,.352,.033,
86,8,68,1,AB,3246,1975.00,59.8148,.9861,6.09088,.11694,-6.332,.043,
97,9,11,1,5G,6990,1805.00,77.3828,.8260,21.32739,.37910,-1.040,.029,
91,9,12,1,5G,6774,2265.00,57.2804,.5872,27.32059,.49237,-.246,.030,
93,9,13,1,5G,6318,3260.00,39.8440,.5150,24.28922,.49981,-.202,.031,
98,9,14,1,5G,4918,1805.00,41.9419,.6600,18.60820,.47375,-.541,.035,
95,9,15,1,5G,7406,3890.00,51.5661,.3827,20.19547,.48607,.483,.028,
96,9,16,1,5G,5654,10825.00,54.2026,.6947,17.34429,.46056,-.602,.033,
92,9,17,1,5G,7343,1865.00,51.2680,.7176,18.42369,.45022,-.687,.029,
94,9,18,1,5G,7276,1855.00,41.8510,.6930,15.73392,.46130,-.807,.029,
93,9,21,1,5G,4258,2095.00,49.0022,.3760,21.68413,.48444,.501,.038,
94,9,22,1,5G,7591,1935.00,59.4238,.5630,20.91921,.49604,-.056,.028,
97,9,23,1,5G,7623,1805.00,59.9350,.8578,16.48227,.34928,-1.452,.028,
96,9,24,1,5G,2439,20985.00,27.2481,.3940,19.19467,.48874,.199,.050,
92,9,25,1,5G,7858,2410.00,63.7873,.6164,24.08642,.48628,-.100,.028,
95,9,26,1,5G,7822,7035.00,35.7835,.1824,14.32313,.38623,1.044,.028,
91,9,27,1,5G,7506,2065.00,36.7485,.4335,29.06320,.49559,.243,.028,
98,9,28,1,5G,4920,1805.00,37.1258,.5533,19.90667,.49721,-.234,.035,
93,9,31,1,5G,4396,5285.00,56.5231,.5644,23.12071,.49589,-.196,.037,
97,9,32,1,5G,5658,1825.00,75.1498,.8162,20.75810,.38736,-1.010,.033,
91,9,33,1,5G,5646,2790.00,32.7239,.3936,27.17409,.48858,.315,.033,
94,9,34,1,5G,6137,2315.00,33.0128,.4895,15.88586,.49993,-.104,.031,
95,9,35,1,5G,6285,13295.00,37.8982,.1053,13.55776,.30700,1.699,.031,
98,9,36,1,5G,5025,1805.00,61.9075,.7164,22.54300,.45078,-.545,.035,
96,9,37,1,5G,2989,11035.00,27.9243,.2620,20.35707,.43977,.877,.045,
92,9,38,1,5G,3947,13505.00,34.6928,.5260,19.00948,.49939,-.216,.039,
91,9,41,1,5G,6290,1820.00,36.0305,.2444,24.22828,.42974,.911,.031,
96,9,42,1,5G,7294,1805.00,51.3726,.6163,17.60698,.48633,-.189,.029,
95,9,43,1,5G,7757,1945.00,38.4113,.4045,12.60623,.49083,.383,.028,
94,9,44,1,5G,6226,1805.00,38.9631,.6450,16.73685,.47854,-.458,.031,
98,9,45,1,5G,7767,1805.00,68.9329,.8113,18.93181,.39133,-.743,.028,
92,9,46,1,5G,5370,1810.00,55.5385,.5445,22.67073,.49806,-.026,.033,
93,9,47,1,5G,1827,4530.00,26.3332,.1752,16.72406,.38020,1.337,.057,
97,9,48,1,5G,6920,2775.00,44.0020,.7652,15.77057,.42392,-1.088,.029,
98,9,51,1,5G,6275,1805.00,69.6238,.7893,19.84436,.40782,-.589,.031,
95,9,52,1,5G,7029,3885.00,39.1445,.2069,12.30750,.40508,1.104,.029,
91,9,53,1,5G,5264,5870.00,28.8237,.2301,18.28644,.42091,.837,.034,
93,9,54,1,5G,3071,3140.00,29.4088,.4126,18.85240,.49238,.132,.044,
94,9,55,1,5G,6482,1805.00,65.4126,.6695,22.11215,.47041,-.294,.030,
97,9,56,1,5G,6435,3135.00,68.1856,.7767,20.23645,.41650,-.764,.031,
96,9,57,1,5G,4658,1805.00,25.4187,.1878,16.96025,.39063,1.187,.036,
92,9,58,1,5G,4569,1900.00,36.5241,.5378,19.49111,.49863,-.289,.036,
95,9,61,1,5G,7347,5900.00,46.7198,.3468,16.40548,.47599,.622,.029,
98,9,62,1,5G,6877,2315.00,68.3491,.8024,19.06730,.39823,-.775,.030,
94,9,63,1,5G,6665,2045.00,45.8806,.5425,18.81232,.49822,-.107,.030,
92,9,64,1,5G,3816,1805.00,27.7688,.3113,17.11178,.46309,.496,.040,
96,9,65,1,5G,4200,11360.00,38.9844,.1664,16.96885,.37251,1.527,.038,
91,9,66,1,5G,5344,3720.00,31.4567,.2008,21.35209,.40063,1.223,.033,
93,9,67,1,5G,7017,5790.00,27.1636,.2685,20.97661,.44321,.691,.029,
97,9,68,1,5G,5625,1805.00,42.1080,.6684,16.28414,.47081,-.622,.033,
108,10,11,1,AB,7350,1815.00,49.6666,.4505,21.28480,.49758,.263,.029,
102,10,12,1,AB,7364,1805.00,66.0334,.8891,14.73262,.31409,-1.293,.029,
105,10,13,1,AB,7291,1805.00,25.7653,.1655,14.12600,.37170,.616,.029,
103,10,14,1,AB,4759,1885.00,22.2636,.1305,11.34277,.33688,.660,.035,
101,10,15,1,AB,7425,1805.00,73.9072,.9516,11.97568,.21452,-.630,.028,
107,10,16,1,AB,3194,1810.00,4.9308,.0063,6.26279,.07890,7.756,.043,
106,10,17,1,AB,7232,2255.00,60.9329,.8682,16.13530,.33827,-1.611,.029,
104,10,18,1,AB,4051,1985.00,13.9826,.0185,8.59027,.13482,1.341,.038,
101,10,21,1,AB,7258,1805.00,61.0478,.6922,18.39050,.46161,-.532,.029,
104,10,22,1,AB,5653,4800.00,42.7858,.3701,18.12908,.48287,.575,.033,
108,10,23,1,AB,5366,1915.00,34.3000,.3239,18.32809,.46800,.461,.033,
105,10,24,1,AB,2985,8055.00,29.7003,.3635,13.95510,.48108,-.305,.045,
102,10,25,1,AB,7349,1805.00,72.1513,.7860,20.30289,.41018,-.824,.029,
103,10,26,1,AB,5296,2735.00,77.0596,.9643,9.67893,.18553,-2.558,.034,
107,10,27,1,AB,2687,24400.00,26.7031,.2278,20.35273,.41947,.456,.047,
106,10,28,1,AB,5160,1805.00,55.4930,.9793,7.46213,.14251,-1.248,.034,
108,10,31,1,AB,5368,1805.00,49.2541,.4978,23.16542,.50004,.073,.033,
105,10,32,1,AB,4415,2660.00,50.9695,.6161,19.63702,.48639,-.337,.037,
101,10,33,1,AB,2828,1805.00,63.6487,.9699,8.14583,.17077,-2.119,.046,
103,10,34,1,AB,2566,1810.00,44.1281,.8558,6.33692,.35135,-.470,.048,
104,10,35,1,AB,5032,3200.00,59.2975,.6139,19.05543,.48691,.029,.035,
107,10,36,1,AB,3058,11975.00,25.4517,.1746,22.06400,.37971,.924,.044,
106,10,37,1,AB,3944,1805.00,64.9065,.9828,7.93396,.13019,-1.350,.039,
102,10,38,1,AB,3981,1805.00,48.8747,.9447,7.34532,.22852,-1.692,.039,
105,10,41,1,AB,6653,1805.00,52.3479,.6009,20.13411,.48974,-.261,.030,
108,10,42,1,AB,6190,2010.00,43.1220,.4829,22.03311,.49975,-.092,.031,
104,10,43,1,AB,6086,1810.00,44.7569,.5475,17.77917,.49778,-.156,.031,
102,10,44,1,AB,4039,1805.00,31.7344,.4152,14.60391,.49282,-.295,.039,
106,10,45,1,AB,6693,1805.00,80.5808,.9967,9.79572,.05724,-.772,.030,
101,10,46,1,AB,7085,1810.00,61.6328,.8312,12.90817,.37461,-.259,.029,
103,10,47,1,AB,5907,1805.00,57.4226,.8759,14.19675,.32971,-1.473,.032,
107,10,48,1,AB,2850,5065.00,21.7206,.2140,16.95332,.41022,.741,.046,
103,10,51,1,AB,6480,1835.00,58.4960,.7213,16.80052,.44840,-.371,.030,
104,10,52,1,AB,6057,1885.00,49.7586,.5341,18.40105,.49888,.097,.031,
107,10,53,1,AB,3249,1805.00,26.4994,.2327,20.74766,.42261,.600,.043,
106,10,54,1,AB,3997,1805.00,40.7699,.6880,9.28812,.46336,-.633,.039,
102,10,55,1,AB,5761,1805.00,83.4708,.9877,8.09342,.11034,-2.659,.032,
105,10,56,1,AB,5944,2300.00,47.3324,.5278,19.76091,.49927,-.157,.032,
101,10,57,1,AB,6158,1805.00,53.7736,.7463,15.89625,.43514,-.761,.031,
108,10,58,1,AB,5720,2105.00,29.3777,.3497,16.10297,.47690,.189,.032,
101,10,61,1,AB,6878,1805.00,61.3034,.7650,17.17299,.42400,-.788,.030,
106,10,62,1,AB,5513,2665.00,58.0650,.7346,15.49455,.44157,-.279,.033,
105,10,63,1,AB,4969,1815.00,36.8242,.3920,17.01966,.48825,.038,.035,
104,10,64,1,AB,3420,1805.00,40.0804,.6468,13.36975,.47804,-.594,.042,
108,10,65,1,AB,971,,16.8489,0.0000,5.63368,0.00000,2.474,.078,
102,10,66,1,AB,5808,1860.00,73.4315,.9943,7.55224,.07517,-1.512,.032,
103,10,67,1,AB,4508,1805.00,45.4479,.6382,20.56789,.48058,-.615,.036,
107,10,68,1,AB,3120,5580.00,25.7342,.3147,16.78729,.46449,.207,.044,
113,11,11,1,AB,3268,2045.00,49.1483,.4850,24.31413,.49985,-.048,.043,
117,11,12,1,AB,6018,1840.00,43.4262,.2589,16.54093,.43806,1.124,.032,
111,11,13,1,AB,7144,1820.00,50.1083,.5427,22.92254,.49821,.004,.029,
114,11,14,1,AB,1693,1810.00,21.1058,.1488,13.44931,.35604,.725,.059,
115,11,15,1,AB,7290,1830.00,72.9786,.7429,23.74025,.43705,-.815,.029,
118,11,16,1,AB,6638,1945.00,39.9659,.2782,25.22881,.44817,.900,.030,
116,11,17,1,AB,4654,1805.00,71.8797,.9581,12.58609,.20038,-1.259,.036,
112,11,18,1,AB,6798,1830.00,44.7105,.6917,19.90740,.46184,-.809,.030,
111,11,21,1,AB,7131,4780.00,55.5398,.5441,20.92024,.49809,.060,.029,
114,11,22,1,AB,4585,1810.00,41.1509,.4556,23.31045,.49808,.025,.036,
118,11,23,1,AB,5598,1805.00,46.3229,.5807,25.04709,.49348,-.259,.033,
115,11,24,1,AB,7172,2220.00,41.6959,.6355,17.74549,.48132,-.470,.029,
112,11,25,1,AB,7257,1885.00,81.1086,.9906,9.27884,.09635,-1.473,.029,
113,11,26,1,AB,3822,21910.00,38.3868,.3558,26.37329,.47883,.601,.040,
117,11,27,1,AB,7182,1805.00,49.2547,.7250,15.81772,.44654,-.825,.029,
116,11,28,1,AB,3692,1825.00,59.2489,1.0000,2.95087,0.00000,-.193,.040,
118,11,31,1,AB,3311,1805.00,63.0835,.6605,21.42549,.47360,-.274,.043,
112,11,32,1,AB,5566,1805.00,81.6525,.9896,8.57001,.10156,-2.209,.033,
115,11,33,1,AB,6425,3535.00,47.9100,.5869,23.14509,.49242,-.259,.031,
113,11,34,1,AB,516,1805.00,38.6375,.6725,19.93476,.46976,-.706,.108,
111,11,35,1,AB,6841,1805.00,45.8177,.3903,23.23325,.48785,.333,.030,
117,11,36,1,AB,6112,2080.00,49.2106,.5790,22.22355,.49376,-.329,.031,
116,11,37,0,AB,14,37855.00,68.1244,1.0000,6.60547,0.00000,-.403,.597,
114,11,38,1,AB,3248,2760.00,24.0533,.3368,16.76336,.47270,.393,.043,
117,11,41,1,AB,4047,1805.00,62.3888,.7522,17.15128,.43181,-.542,.038,
111,11,42,1,AB,5538,5100.00,42.4399,.3245,20.85533,.46822,.739,.033,
113,11,43,0,AB,115,2785.00,27.2217,.2783,16.69518,.45010,.354,.226,
118,11,44,1,AB,1375,1835.00,44.0985,.8364,12.28919,.37008,-1.439,.066,
115,11,45,1,AB,6181,1805.00,49.3895,.4436,18.78708,.49685,.266,.031,
116,11,46,0,AB,66,3340.00,85.6818,1.0000,4.00349,0.00000,-1.215,.295,
112,11,47,1,AB,5331,1875.00,56.8293,.8353,17.65772,.37094,-1.531,.034,
114,11,48,1,AB,1238,2190.00,26.3710,.2908,15.86804,.45431,.338,.070,
118,11,51,1,AB,2927,2010.00,61.0371,.6809,19.76031,.46621,-.300,.045,
115,11,52,1,AB,6677,1920.00,52.6515,.5600,24.77370,.49643,-.191,.030,
111,11,53,1,AB,1094,1805.00,57.0860,.7587,21.88835,.42808,-.861,.074,
113,11,54,1,AB,5314,1820.00,23.3165,.2687,17.61904,.44334,.576,.034,
114,11,55,1,AB,3000,2085.00,53.1231,.4950,19.79267,.50006,.186,.045,
117,11,56,1,AB,6556,1805.00,41.9278,.4474,18.10600,.49726,-.048,.030,
116,11,57,0,AB,53,1850.00,60.4161,.7358,23.71775,.44510,-.947,.327,
112,11,58,1,AB,6512,1840.00,50.1343,.8814,14.09550,.32328,-2.044,.030,
113,11,61,1,AB,1915,3845.00,52.7541,.5587,25.33263,.49667,-.190,.056,
117,11,62,1,AB,5535,1810.00,53.1053,.5780,22.61827,.49393,-.175,.033,
111,11,63,1,AB,7181,2725.00,34.9295,.3408,23.46938,.47400,.615,.029,
114,11,64,1,AB,827,1815.00,39.1082,.6663,16.64787,.47183,-.801,.085,
115,11,65,1,AB,7740,1805.00,61.3979,.6209,23.63204,.48519,-.286,.028,
118,11,66,1,AB,4673,1805.00,46.4921,.5284,20.51265,.49925,.022,.036,
116,11,67,0,AB,135,2385.00,72.7944,1.0000,2.20298,0.00000,-.554,.209,
112,11,68,1,AB,6703,1805.00,48.1458,.8152,15.30255,.38820,-1.188,.030,
123,12,11,1,5G,1569,24325.00,35.1442,.2543,22.06474,.43561,.412,.062,
124,12,12,1,5G,5300,7875.00,53.3515,.5579,20.12292,.49668,.076,.034,
127,12,13,1,5G,3290,1805.00,48.9702,.7006,14.79509,.45806,-.604,.043,
126,12,14,0,5G,142,38845.00,25.4241,.2746,17.36159,.44792,.287,.203,
122,12,15,1,5G,6205,1805.00,63.8775,.7120,21.93757,.45286,-.534,.031,
125,12,16,1,5G,5217,10815.00,50.1477,.5833,19.32969,.49306,-.154,.034,
121,12,17,1,5G,5940,3870.00,35.9218,.3419,15.56242,.47439,.597,.032,
128,12,18,1,5G,5373,3520.00,28.6374,.4696,19.56495,.49912,-.005,.033,
121,12,21,1,5G,5925,1805.00,46.7997,.4000,20.49183,.48994,.415,.032,
124,12,22,1,5G,4299,1805.00,47.0101,.3696,19.75113,.48276,.537,.037,
128,12,23,1,5G,3948,12350.00,43.2566,.5618,21.57633,.49623,-.270,.039,
125,12,24,1,5G,6180,1860.00,30.0977,.4880,14.94765,.49990,-.194,.031,
122,12,25,1,5G,6838,1805.00,67.6594,.7727,19.74029,.41909,-.764,.030,
123,12,26,1,5G,4726,14505.00,44.2789,.4706,21.05704,.49919,-.044,.036,
127,12,27,1,5G,5292,1820.00,43.4311,.5797,18.00253,.49365,-.281,.034,
126,12,28,1,5G,4320,7770.00,30.0795,.4898,18.27891,.49995,-.211,.037,
128,12,31,1,5G,4508,1805.00,55.6388,.5535,29.75147,.49719,-.214,.036,
122,12,32,1,5G,6289,1805.00,65.9523,.7820,20.68546,.41292,-.799,.031,
125,12,33,1,5G,4837,15675.00,42.2739,.5679,21.53893,.49542,-.274,.035,
123,12,34,1,5G,2618,20800.00,33.4449,.5218,15.52951,.49962,-.348,.048,
121,12,35,1,5G,7913,1805.00,49.1331,.4677,22.28757,.49899,.167,.028,
127,12,36,1,5G,6558,1805.00,46.3676,.4976,23.11401,.50003,.044,.030,
126,12,37,1,5G,5794,5410.00,39.9630,.5109,20.67963,.49992,-.082,.032,
124,12,38,1,5G,5366,4185.00,20.8527,.2721,17.70380,.44507,.666,.033,
121,12,41,1,5G,6761,5065.00,57.7126,.5613,23.55082,.49626,-.066,.030,
126,12,42,1,5G,6543,2120.00,58.0656,.6463,21.73948,.47814,-.360,.030,
125,12,43,1,5G,3354,5305.00,39.6223,.3521,21.90513,.47770,.492,.042,
124,12,44,1,5G,3494,2405.00,31.5145,.4516,21.16580,.49773,.064,.041,
128,12,45,1,5G,6939,1865.00,61.6969,.6243,29.23952,.48434,-.374,.029,
122,12,46,1,5G,7291,1810.00,65.0190,.8509,17.20750,.35620,-.990,.029,
123,12,47,0,5G,1,13390.00,58.5000,1.0000,,,,,
127,12,48,1,5G,7214,1805.00,36.1828,.5592,17.28749,.49652,-.242,.029,
127,12,51,1,5G,5217,1805.00,66.7135,.7117,20.85471,.45301,-.578,.034,
121,12,52,1,5G,6585,4135.00,50.1806,.4597,22.11247,.49841,.206,.030,
123,12,53,1,5G,2224,25350.00,30.8635,.2621,18.97905,.43990,.629,.052,
128,12,54,1,5G,3769,8050.00,36.7112,.5617,21.45346,.49625,-.307,.040,
125,12,55,1,5G,4620,14735.00,55.5855,.5444,25.52020,.49808,-.082,.036,
126,12,56,1,5G,5412,5705.00,58.2803,.7049,21.78226,.45612,-.598,.033,
122,12,57,1,5G,7048,1805.00,56.1862,.8339,15.48905,.37224,-.968,.029,
124,12,58,1,5G,5596,1820.00,32.1017,.4909,19.38083,.49996,-.052,.033,
125,12,61,1,5G,4405,1835.00,56.9754,.5739,22.52819,.49457,-.138,.037,
128,12,62,1,5G,5582,1810.00,48.5109,.4740,30.77782,.49937,.124,.033,
124,12,63,1,5G,2654,1805.00,48.0163,.5418,18.14710,.49834,-.033,.048,
122,12,64,1,5G,3627,1805.00,48.3456,.8911,12.18973,.31156,-1.357,.041,
126,12,65,1,5G,5486,1895.00,61.4740,.6830,21.52425,.46535,-.373,.033,
121,12,66,1,5G,7579,1805.00,50.7742,.5678,21.41641,.49542,-.226,.028,
123,12,67,1,5G,3952,17460.00,40.9841,.4922,20.35501,.50000,-.094,.039,
127,12,68,1,5G,5111,1805.00,31.6341,.4661,19.23118,.49890,.082,.034,
133,13,11,1,AB,7273,1805.00,61.6931,.7566,19.74227,.42914,-.932,.029,
134,13,12,1,AB,7074,1805.00,79.7219,.9839,9.48802,.12593,-1.461,.029,
137,13,13,1,AB,7248,1820.00,49.0094,.6069,26.08384,.48847,-.410,.029,
136,13,14,1,AB,5942,1810.00,35.7885,.6501,17.14644,.47697,-.527,.032,
132,13,15,1,AB,7253,1805.00,60.8410,.6108,27.09784,.48761,-.240,.029,
135,13,16,1,AB,7158,2850.00,62.1069,.6911,21.76433,.46207,-.593,.029,
131,13,17,1,AB,7378,2450.00,42.0893,.5686,22.80762,.49531,-.315,.029,
138,13,18,0,AB,3,,6.4507,0.0000,3.67530,0.00000,1.060,1.225,
133,13,21,1,AB,7331,2040.00,57.2215,.7015,17.41254,.45761,-.747,.029,
137,13,22,1,AB,7475,1805.00,57.8776,.6017,28.66922,.48957,-.324,.028,
131,13,23,1,AB,7446,1805.00,47.5206,.6301,20.89120,.48280,-.425,.028,
134,13,24,1,AB,7383,1805.00,52.1179,.9935,4.84468,.08037,-.402,.029,
135,13,25,1,AB,7403,1840.00,61.6989,.6225,24.50878,.48481,-.261,.028,
138,13,26,0,AB,,,,,,,,,
136,13,27,1,AB,7500,1820.00,50.8935,.6411,20.78470,.47972,-.372,.028,
132,13,28,1,AB,7219,1805.00,30.4395,.4027,16.57526,.49047,.038,.029,
135,13,31,1,AB,6710,1805.00,65.4275,.7057,24.40662,.45578,-.681,.030,
138,13,32,0,AB,7,19445.00,50.2369,.4286,30.76469,.53452,.361,.794,
134,13,33,1,AB,6710,1895.00,66.5675,.9908,8.40822,.09569,-.833,.030,
132,13,34,1,AB,6785,2065.00,32.6835,.4671,15.93275,.49895,-.077,.030,
136,13,35,1,AB,7074,1805.00,60.0456,.6829,21.20922,.46537,-.635,.029,
131,13,36,1,AB,7022,1805.00,62.8861,.7600,17.17638,.42709,-.389,.029,
133,13,37,1,AB,7003,3500.00,36.2564,.4787,19.53764,.49958,-.096,.029,
137,13,38,1,AB,6140,1805.00,39.8505,.6252,21.50257,.48410,-.517,.031,
138,13,41,0,AB,1,,41.5000,0.0000,,,,,
132,13,42,1,AB,6955,1805.00,62.1500,.7527,19.77982,.43148,-.726,.029,
135,13,43,1,AB,6376,5335.00,45.2444,.5878,21.16999,.49226,-.276,.031,
133,13,44,1,AB,3015,10330.00,26.6288,.3589,15.32737,.47975,.107,.045,
131,13,45,1,AB,7000,1810.00,71.4837,.8624,15.78586,.34447,-.931,.029,
137,13,46,1,AB,7078,1850.00,54.6743,.6341,26.11561,.48172,-.451,.029,
136,13,47,1,AB,7196,1805.00,36.4772,.4981,19.16611,.50003,-.091,.029,
134,13,48,1,AB,6581,1805.00,42.3363,.6972,17.79666,.45952,-.880,.030,
131,13,51,1,AB,7071,1810.00,74.5854,.8671,18.45764,.33953,-1.324,.029,
136,13,52,1,AB,7543,2070.00,49.1675,.5168,21.90787,.49975,-.099,.028,
135,13,53,1,AB,6549,1815.00,49.8847,.6580,22.35094,.47443,-.565,.030,
134,13,54,1,AB,6326,1805.00,42.9176,.7177,17.51320,.45017,-.838,.031,
138,13,55,0,AB,24,2635.00,23.7726,.0833,14.38638,.28233,1.303,.472,
132,13,56,1,AB,7618,2075.00,51.7094,.6154,23.27024,.48654,-.420,.028,
133,13,57,1,AB,7502,1935.00,31.4471,.3576,20.23628,.47934,.404,.028,
137,13,58,1,AB,6878,1850.00,41.7723,.6785,19.38817,.46707,-.663,.030,
138,13,61,0,AB,,,,,,,,,
135,13,62,1,AB,6592,2200.00,59.9851,.6933,21.51006,.46117,-.586,.030,
