fish,session,tank,include,strain,y1.n,entrytotop.min,y1.mean,topbottom.mean,y1.sd,topbottom.sd,y1.skew,y1.se,
26,2,37,1,AB,6626,1840.00,21.6655,.1337,15.40622,.34037,1.497,.030,
22,2,38,1,AB,5684,1805.00,28.2047,.4273,17.71631,.49474,.064,.032,
21,2,41,1,AB,859,2145.00,66.2149,.7125,22.63170,.45288,-.568,.083,
24,2,42,1,AB,5416,1805.00,57.7518,.6876,23.79622,.46352,-.571,.033,
28,2,43,1,AB,5990,2825.00,43.9302,.5628,19.33804,.49609,-.271,.032,
25,2,44,1,AB,2592,3225.00,49.0263,.8387,15.43766,.36785,-1.589,.048,
22,2,45,1,AB,2529,6570.00,44.2099,.2618,15.95200,.43968,1.073,.049,
23,2,46,1,AB,3204,1805.00,48.7503,.5256,21.80777,.49942,-.138,.043,
27,2,47,1,AB,5914,1805.00,46.8503,.6677,21.04389,.47106,-.619,.032,
26,2,48,1,AB,7221,2110.00,34.8889,.5368,12.43371,.49868,-.007,.029,
28,2,51,1,AB,6383,1810.00,62.3934,.7446,20.74056,.43610,-.784,.031,
22,2,52,1,AB,4059,1830.00,37.8270,.2237,15.70637,.41677,1.165,.038,
25,2,53,1,AB,5040,1805.00,60.4751,.8194,18.87828,.38469,-1.265,.034,
23,2,54,1,AB,5541,1805.00,33.6828,.5172,16.00170,.49975,-.214,.033,
21,2,55,1,AB,3073,1805.00,68.8419,.7472,22.53266,.43471,-.664,.044,
27,2,56,1,AB,7461,1860.00,65.6473,.8354,18.70286,.37083,-1.097,.028,
26,2,57,1,AB,7637,2060.00,44.0855,.5442,12.42968,.49808,.507,.028,
24,2,58,1,AB,7447,1915.00,39.0998,.6437,17.45279,.47892,-.521,.028,
23,2,61,1,AB,4535,1805.00,53.5933,.5753,21.97960,.49435,-.219,.036,
24,2,62,1,AB,4590,1805.00,52.8713,.5758,24.48945,.49427,-.182,.036,
27,2,63,1,AB,7239,1805.00,56.5778,.8456,15.40714,.36140,-1.307,.029,
26,2,64,1,AB,6187,1805.00,39.7213,.6410,11.89452,.47974,-.179,.031,
22,2,65,1,AB,3998,2645.00,46.3010,.3119,16.08231,.46333,.731,.039,
25,2,66,1,AB,6307,1805.00,64.6347,.7961,20.14075,.40293,-1.054,.031,
21,2,67,1,AB,4828,1965.00,55.0961,.7811,16.37590,.41356,-.726,.035,
28,2,68,1,AB,2197,1865.00,30.7526,.4807,17.77095,.49974,-.097,.052,
37,3,11,0,5G,123,1805.00,64.6319,.6992,23.98811,.46049,-.403,.218,
31,3,12,1,5G,3102,1820.00,47.3726,.3772,18.48989,.48476,.496,.044,
33,3,13,1,5G,4098,1810.00,36.4872,.4427,24.21723,.49676,.150,.038,
38,3,14,1,5G,1647,1875.00,33.7649,.5234,16.96800,.49960,-.335,.060,
35,3,15,1,5G,3840,1820.00,66.8528,.7391,21.55030,.43920,-.706,.040,
36,3,16,1,5G,4302,1825.00,54.6535,.6002,26.25474,.48992,-.323,.037,
